iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,3.184403419494629,-35.15142499979681,12.027316632642231,-7.7965064458170525,-61.45582866279633,0.0,15.35788502675129,0.1,0.10446691513061523,0.8853585720062256,0.115670025,0.0058568907,-35.15142499979681,-0.79762320247799,-0.17574820247799003,0.0,19200,3.87896728515625,0.9988738161815427,0.1598368006451108,-8.438287983173865,0.0
1,3.187370777130127,-15.47190475952612,13.193503141127541,9.262147588634104,-55.14367906545439,0.0,8.215869037040138,0.1,0.06041407585144043,0.8691267967224121,0.05274379,0.010568431,-33.18347297576974,-0.758821076790773,-0.07736274345743974,0.0,19200,1.4403607845306396,0.22251375783802307,0.13304105686466258,10.02223439601839,0.0
2,3.233114242553711,-0.28767734351564084,11.839101851824696,29.171263103921216,-31.059116243514506,0.0,17.135885418831784,0.1,0.04429769515991211,1.0008304119110107,0.05218278,0.0049735866,-29.89389341254433,-0.7322812017821424,-0.0014478684488089973,0.0,19200,2.722100019454956,0.18966542135146752,0.06700461074124536,20.612433848453037,0.0
3,2.4552371501922607,11.247875360351173,10.24158733772856,31.81426333280962,-16.705007966089106,0.0,9.16426629648008,0.1,0.02564072608947754,0.6131319999694824,0.050753042,0.009396062,-25.779716535254778,-0.7154405564414232,0.05622611022524348,0.0,19200,3.110032796859741,0.09189403039978969,0.02088269214835382,47.11237996745703,0.0
4,2.600709915161133,36.01458801358053,10.78788691903264,63.19849370311819,6.431183799325506,0.0,5.169379658869896,0.1,0.038692474365234375,0.8464009761810303,0.04717221,0.021812543,-19.600286080371248,-0.6828787776022992,0.1800378890643672,0.0,19200,2.8944525718688965,0.05672800145890726,0.007727191474355589,47.62138558947092,0.0
5,2.306598424911499,52.95184416691995,10.615634979268975,76.12987567549445,19.93325372811199,0.0,4.770028413325614,0.1,0.03407549858093262,0.8120028972625732,0.050281063,0.020953894,-12.345073055642128,-0.6530071343658649,0.2647011989674685,0.0,19200,3.434983730316162,0.025288570267734563,0.013643780309040803,25.564980528390933,0.0
6,2.4655983448028564,62.63219694219401,14.653482456097437,108.09464638721236,29.167609186034408,0.0,4.398602847123756,0.1,0.02945113182067871,0.6790778636932373,0.050971672,0.021685896,-4.847346055858514,-0.641496086855038,0.31308724647829533,0.0,19200,3.9040775299072266,0.02820342385755896,0.0231206793867431,48.838915489710615,0.0
7,2.833470106124878,95.6662988081576,17.962291654845068,158.8352569097083,53.187181437318266,0.0,6.628629523824156,0.1,0.033861637115478516,0.7071640491485596,0.053523395,0.015071259,5.204018430543098,-0.6200894798680997,0.47824385346523357,0.0,19200,3.7472803592681885,0.10746679006039843,0.03415608048719311,107.40556557191121,0.0
8,2.474496603012085,155.28122929669397,19.07993263819798,193.49335006952063,91.19920748359847,0.0,7.047695401793567,0.1,0.039144039154052734,0.8032276630401611,0.0490031,0.015499934,20.211739517158186,-0.585377155438119,0.7762895112285477,0.0,19200,4.00321364402771,0.23784884828677738,0.026957548423016238,159.77254297329637,0.0
9,2.348050594329834,200.4890455381644,21.499367229919876,241.54319638348315,156.04814197917685,0.0,8.233161606119738,0.1,0.033742666244506836,0.7266476154327393,0.05422224,0.010987188,38.23947011925881,-0.5643587048294229,1.0023079618372437,0.0,19200,4.139034271240234,0.1067905485952717,0.027334895627907124,291.82043946230124,0.0
10,2.6438682079315186,274.59593568367717,23.28808058085155,326.85204357262126,195.0250656985014,0.0,7.964221418833335,0.1,0.026747703552246094,0.9162564277648926,0.05616731,0.012389411,61.87511667570065,-0.5384312400146379,1.372818759985362,0.0,19200,6.025518417358398,0.16872457065246466,0.017271216460097973,455.8861699462074,0.0
11,2.440185546875,338.54208343223416,21.928224033902513,385.1582583047179,286.19309073994407,0.0,7.536883297817184,0.1,0.027855634689331055,0.5345871448516846,0.05037159,0.013558323,89.54181335135401,-0.5224701273645177,1.6925298726354825,0.0,19200,4.976623058319092,0.07775862157171422,0.011548718262464038,513.7631916649391,0.0
12,2.6221797466278076,381.0245634957825,21.377498741924178,447.33933056815994,339.6304572603223,0.0,6.504990933083647,0.1,0.03525066375732422,0.5781893730163574,0.073608615,0.018265184,118.69008836579687,-0.5142313644632904,1.904935302203376,0.0,19200,3.578944683074951,0.03401814938967268,0.008974616797479636,517.9012555625815,0.0
13,2.6366610527038574,419.96573095649825,31.387606061943462,492.85918603280265,318.3723121872761,0.0,8.911146102564544,0.1,0.04472541809082031,0.7366526126861572,0.05077658,0.011715358,148.817652624867,-0.507447504108058,2.0996358292252757,0.0,19200,4.988346576690674,0.033288001491311614,0.013903652754535097,509.65684284592646,0.0
14,2.5874946117401123,459.9407985020296,18.631263143632136,501.12275798243735,414.4158120903013,0.0,10.880780720622376,0.1,0.020706653594970703,0.7641804218292236,0.056728866,0.009256891,179.92996721258328,-0.5009084107805067,2.2995082558861597,0.0,19200,4.1652326583862305,0.02182480892199877,0.00440572915819641,522.0498911614302,0.0
15,2.378220319747925,491.85522646909936,16.7973218989683,529.828346139252,443.3133769505597,0.0,8.708727354305976,0.1,0.057832956314086914,0.7814059257507324,0.053417943,0.011324748,211.1224931382349,-0.4959245326526001,2.4590754673474,0.0,19200,3.2212634086608887,0.011436927481532728,0.0029513723753028234,526.1247732348022,0.0
16,2.3746719360351562,509.0221257322117,12.873129484532226,538.1357470651421,472.28874420245296,0.0,8.942118232973614,0.1,0.05751228332519531,0.6914341449737549,0.055513866,0.010321957,240.91245639763255,-0.4934253361153719,2.5449079972179613,0.0,19200,5.438150644302368,0.004392131439896316,0.0016072317520261076,538.4409253179434,0.0
17,2.641252040863037,528.8125213787424,11.42483575736178,550.5410220396436,496.9070871971246,0.0,11.164584218665295,0.1,0.06363940238952637,0.5840296745300293,0.05356479,0.008335691,269.70246289574357,-0.49072584446910833,2.643857488864225,0.0,19200,4.166003942489624,0.004629670840769566,0.0011665184418275748,534.4268968163703,0.0
18,2.3575053215026855,531.8748707285312,8.156704652762237,546.5085609181359,509.36731396862393,0.0,7.863183506134039,0.1,0.05126309394836426,0.7525780200958252,0.055601347,0.011336498,295.9197036790223,-0.4899968993462441,2.659169767320422,0.0,19200,4.277041673660278,0.0006426453569423009,0.000598834429192617,534.388224184251,0.0
19,2.4483659267425537,540.2464192173219,7.48304808976482,554.7442647166341,521.7708871696583,0.0,9.251182534736488,0.1,0.03701353073120117,0.9063451290130615,0.055533357,0.009926672,320.3523752328523,-0.48876505797633224,2.7010266086903343,0.0,19200,3.475064754486084,0.0010118061428508393,0.0005268970147239157,534.3822832597664,0.0
20,2.54044246673584,546.1589470311793,6.495093642294053,562.8472309032792,529.9108530939875,0.0,14.502139241296272,0.1,0.029740095138549805,0.5535695552825928,0.055629857,0.0060357866,342.933032412685,-0.4879525958486724,2.730589070817994,0.0,19200,4.593590974807739,0.0007599377527208768,0.00036129395189614876,534.3729463819964,0.0
21,2.7105934619903564,556.613488695566,6.054761880857178,571.0918592365607,542.3861681888505,0.0,11.94549645523644,0.1,0.05144000053405762,0.7983765602111816,0.047678623,0.008612732,364.3010780409731,-0.486514587281764,2.782860412718236,0.0,19200,5.270771026611328,0.0011112408116096051,0.00036760629018969934,534.4552783862305,0.0
22,2.5920517444610596,564.2658475087827,7.192922333470786,583.2534553657044,550.6292866092509,0.0,9.880047240486553,0.1,0.022513151168823242,0.7654972076416016,0.047301494,0.010189477,384.2975549877541,-0.4855456587333473,2.821121007933319,0.0,19200,3.781299352645874,0.0012634842600352902,0.0004473886540504499,534.4084717004534,0.0
23,2.2937047481536865,564.5169356797345,7.024587220943065,583.3446064717342,550.5291443074169,0.0,8.045224406533881,0.1,0.02098679542541504,0.8444855213165283,0.032691576,0.009227137,402.3194930569521,-0.48553995998990107,2.8223767066767653,0.0,19200,5.128640413284302,0.0004217514621900649,0.0004170740059945355,538.4697730545065,0.0
24,2.4868412017822266,573.0132749342739,5.996606466771221,583.3869948224965,562.8498273332096,0.0,11.97991621764374,0.1,0.029624462127685547,0.7267522811889648,0.047694825,0.008815526,419.3888712446843,-0.4845180732592696,2.8648569267407304,0.0,19200,3.480093240737915,0.0006339359658423119,0.0002870783653513034,546.6388083748112,0.0
25,2.3507308959960938,580.7179017689588,6.277965570682857,595.6006673482863,566.968256292307,0.0,10.80895411238734,0.1,0.14008688926696777,0.7702696323394775,0.048364628,0.008085623,435.5217742971118,-0.48370467616085183,2.903378657172482,0.0,19200,3.754183292388916,0.0007245300588448822,0.0003094362445397547,542.5694342689451,0.0
26,2.5917885303497314,579.9002517686291,6.003739321941541,595.6170714692757,567.0338904048664,0.0,7.63561950480903,0.1,0.03836226463317871,0.8326995372772217,0.05291872,0.0121706035,449.95962204426354,-0.4836258806231622,2.8992907860435047,0.0,19200,4.160778999328613,0.00030132120488317267,0.00028091437306197904,538.5190454982574,0.0
27,2.5043859481811523,581.1331990955822,5.49262037649873,595.5958965109968,567.0367106491195,0.0,10.974562629510485,0.1,0.023364543914794922,0.6460318565368652,0.045427643,0.009765074,463.07697974939543,-0.48350304653907955,2.905455286794254,0.0,19200,4.766119003295898,0.0002514046530699555,0.000221156534221938,538.459591526853,0.0
28,2.5372250080108643,583.2419165467851,5.749094846946572,599.6731516490419,571.072048046308,0.0,11.727806673034099,0.1,0.034725189208984375,0.6916072368621826,0.04352675,0.006466224,475.0934734291344,-0.48337596168754926,2.915999038312451,0.0,19200,5.858365774154663,0.000278793117966269,0.0002457991187795137,546.6440000400469,0.0
29,2.394443988800049,584.1522388701813,5.983105633128096,599.7165257457982,567.0298580078376,0.0,16.248599549890365,0.1,0.05111265182495117,0.8406696319580078,0.046965834,0.0066600833,485.99934997323913,-0.4831999676713929,2.9205500323286073,0.0,19200,4.38294243812561,0.00028086705830637093,0.00027684932399057674,558.8411302645894,0.0
