actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
None,None,None,None,None,None,None,None,None,None,None,None,None,0.09518969,0.00020431237,-0.07807525,298,0.029902726,0.005942705868875421,0.005810525335339498,0.005722164325098798,10,8.548496204797743e-05,37,29.8,25,10,4.166533331199932,182.88319158554077,143.42627909556032,88.35947600007057,10,32.40209961715679,0.04,0.03417615693137514,0.02702702702702703,10,0.004445550742157413,1.0,-0.028466417,-1.0,2000,0.99385875,88,33.79897785349233,19,5870,10.642741076735168,324.9586429595947,-12.323553529425125,-493.57819879055023,5870,84.35544461603762,5870.0,193.7799174785614,200000.0,1.0,193.7799174785614,200000.0,1032.0986952743788,2000.0
None,None,None,None,None,None,None,None,None,None,None,None,None,0.08722224,-0.0002520299,-0.0730956,281,0.029930955,0.005941789611629693,0.005772429763421329,0.005736632668857901,10,5.7572710890658274e-05,39,28.1,25,10,3.726929030716845,202.2284354865551,168.4339916318655,135.06990242004395,10,16.507434944481776,0.04,0.03607163207163207,0.02564102564102564,10,0.003672284087835711,1.0,-0.023696925,-1.0,2000,0.99679476,89,32.98019801980198,17,6060,10.052811239756483,221.1524047255516,-22.147112917563383,-461.1400782465935,6060,82.27682913260155,11930.0,240.05196833610535,200000.0,2.0,433.83189511299133,400000.0,833.1529267861401,4000.0
None,None,None,None,None,None,None,None,None,None,None,None,None,0.0949511,0.00040287364,-0.0758204,312,0.02996331,0.0059609863308271276,0.0058504751245360975,0.005747505363868942,10,7.992162638346725e-05,37,31.2,27,10,4.308131845707603,214.4702436029911,180.9477372586727,127.0074582695961,10,23.5475649971662,0.037037037037037035,0.03266422266422266,0.02702702702702703,10,0.0044437189656476635,1.0,-0.030487606,-1.0,2000,0.9965786,84,32.59477124183007,14,6120,10.331396345018701,239.66469061374664,-23.052077282974828,-678.1944055259228,6120,81.64813054660912,18050.0,209.48853158950806,200000.0,3.0,643.3204374313354,600000.0,954.7062002988268,6000.0
None,None,None,None,None,None,None,None,None,None,None,None,None,0.09703081,6.8638015e-05,-0.080357336,289,0.030008828,0.005930354166000891,0.00580610026824783,0.005743236293780909,10,6.456565582042272e-05,39,28.9,27,10,3.645545226711637,234.95329093933105,177.46484143733977,110.80112707614899,10,33.26122228800348,0.037037037037037035,0.03504916827497472,0.02564102564102564,10,0.003562426884395138,1.0,-0.03622899,-1.0,2000,0.9963809,112,33.44908180300501,14,5990,11.158308177944184,373.77937899529934,-20.58169178877555,-469.80927453935146,5990,80.45692022761601,24040.0,188.02942395210266,200000.0,4.0,831.3498702049255,800000.0,1063.6633128810022,8000.0
None,None,None,None,None,None,None,None,None,None,None,None,None,0.08533814,0.00040479196,-0.07654625,301,0.029904732,0.0059688899616015196,0.005832766890069835,0.005731195592641749,10,9.23074931900823e-05,36,30.1,25,10,4.27668095606862,221.02945804595947,184.3270545065403,128.70810413360596,10,24.30581958973353,0.04,0.03387239340180516,0.027777777777777776,10,0.004581577512357135,1.0,-0.028174354,-1.0,2000,0.99672765,88,32.957166392092255,15,6070,10.040189940755543,313.89367013424635,-20.19740075787569,-712.5719018876553,6070,84.08976967013658,30110.0,189.39399433135986,200000.0,5.0,1020.7438745498657,1000000.0,1055.9996936866123,10000.0
0.22055706,0.013642137,14.736223,-0.004816329,0.004002428,0.0059952266,4.5537977,165.7777,165.81633,5.5768366,-19.008696,187.64742,-28.687614,0.9634801,-0.094968535,-0.99940974,312,0.3808372,0.05848678162919993,0.05290540793637669,0.040272726197088625,10,0.005167029078264065,53,31.2,24,10,8.328265125462805,260.73254549503326,168.57944822236897,46.73745780438185,10,70.59242391137913,0.041666666666666664,0.03385178931264482,0.018867924528301886,10,0.007007627199148908,3.9098778,-0.023592776,-3.8786063,2000,0.7020369,188,54.772050716648295,23,3628,17.433544364620584,371.8987693786621,11.509709315097306,-711.3530731648207,3628,122.43109017835276,33738.0,365.0012664794922,200000.0,6.0,1385.7451543807983,1200000.0,547.9433042220337,12000.0
0.0040524486,0.00027073128,23.76704,-0.005981022,5.346458e-05,0.0078823855,9.210181,164.8948,164.90091,11.869679,-13.525216,114.21179,-28.992275,0.9999691,-0.17178266,-1.0,403,0.597769,0.11751764746688521,0.11464752573796802,0.11150675942591122,10,0.0015450245207634327,57,40.3,30,10,11.144954015158609,271.0865080356598,170.04227588772773,35.51729774475098,10,81.27010370713244,0.03333333333333333,0.026623123410262628,0.017543859649122806,10,0.0065615860140631,4.1496854,-0.080513835,-4.0995374,2000,0.76740277,173,51.11584587905078,21,3919,18.259291789664093,641.7576844841242,242.3129628328789,-604.1323799192905,3919,117.71083806569435,37657.0,385.76299262046814,200000.0,7.0,1771.508172750473,1400000.0,518.4530497376389,14000.0
0.00021286625,1.4825314e-05,31.957106,-0.0060000955,2.203986e-06,0.008556663,10.371994,164.35226,164.34917,13.389833,8.984999,152.39427,-8.506073,0.9999971,-0.121387094,-1.0,422,0.64916986,0.19750140306449704,0.15238161906139128,0.11901679390868543,10,0.024308726070053036,56,42.2,24,10,10.467091286503619,243.4487844593823,107.17119319625199,-8.968318819999695,10,93.43116995436705,0.041666666666666664,0.025441258518207034,0.017857142857142856,10,0.007247077911547621,4.0517025,-0.11934929,-4.294908,2000,0.840343,160,48.960880195599024,21,4090,18.158402049614025,973.1883566379547,350.74575324087056,-155.57373309507966,4090,115.67590548457828,41747.0,379.6173982620239,200000.0,8.0,2151.1255815029144,1600000.0,526.8462428635942,16000.0
1.3234834e-05,9.3129927e-07,39.443558,-0.0053805467,1.2748774e-07,0.0085360315,10.514175,163.88817,163.88197,13.261573,33.36046,201.70587,18.332205,0.9999989,-0.059780814,-1.0,561,0.67848474,0.19486309285356054,0.18769440360978737,0.18056664505049266,10,0.005604193845714619,62,56.1,54,10,2.4269322199023193,327.743145853281,268.84053063429894,152.69982021860778,10,53.14259268274085,0.018518518518518517,0.017856994383690712,0.016129032258064516,10,0.0007330205323913636,4.2766786,-0.11356079,-4.2659245,2000,0.86309135,162,51.847113884555384,24,3846,17.251166073048687,1030.3479418754578,433.48782709706705,-175.05997399240732,3846,138.45465029523103,45593.0,339.3468644618988,200000.0,9.0,2490.4724571704865,1800000.0,589.3674612763531,18000.0
1.642473e-06,1.1535281e-07,46.059605,-0.004245418,1.6045021e-08,0.007930186,10.593786,163.41998,163.41383,13.719229,69.46982,267.18658,55.984684,0.9999997,-0.062245533,-1.0,626,0.70377237,0.24722715044464227,0.20856567234522166,0.18037415454027847,10,0.021298956078419053,75,62.6,51,10,6.6663333249995835,358.6124921441078,274.7925096563064,127.10405112802982,10,69.4774652023158,0.0196078431372549,0.01616014395550127,0.013333333333333334,10,0.0017576632826258203,4.3860474,-0.14535762,-4.5566025,2000,0.888729,122,58.013623188405795,28,3450,12.453209349576913,1164.8518924713135,590.6350750066139,-94.20448673330247,3450,142.6085298166114,49043.0,322.0433859825134,200000.0,10.0,2812.5158541202545,2000000.0,621.0343348298411,20000.0
